Type,Matter #,Name,Budget Category
MUR,4674,NEW JERSEY DEMOCRATIC STATE COMMITTEE,Legacy Data
MUR,4673,PAPAN FOR ASSEMBLY,Legacy Data
MUR,4672,FRIENDS OF JOHN A. O'TOOLE,Legacy Data
MUR,4668,SCHAKOWSKY FOR CONGRESS,Legacy Data
MUR,4667,SPECTER / GREENWOOD,Legacy Data
MUR,4666,THE CONSERVATIVE TRUST,Legacy Data
MUR,4664,KUTAK ROCK POLITICAL ACTION COMMITTEE,Legacy Data
MUR,4663,RODRIGUEZ FOR CONGRESS,Legacy Data
MUR,4662,JOHN WERTHEIM FOR CONGRESS,Legacy Data
MUR,4661,COX AND AMPLICON INC.,Legacy Data
MUR,4660,"ALEXANDER FOR PRESIDENT, INC.; EARDENSOHN, TODD, TREAS",Internal Enforcement - Title 26 Audit Referral (PFESP)
MUR,4659,PAKISTANI PHYSICIANS PUBLIC AFFAIRS COMMITTEE,Legacy Data
MUR,4658,"NEW JERSEY DEMOCRATIC STATE COMMITTEE; GARCIA, PAUL 'RUDY""",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4657,"BUCHANAN FOR PRESIDENT, INC.",Legacy Data
MUR,4656,H. CARROLL FOR CONGRESS COMMITTEE,Legacy Data
MUR,4655,DYNCORP FEDERAL POLITICAL ACTION,Legacy Data
MUR,4654,COMMITTEE FOR QUALITY ORTHOPAEDIC HEALTH CARE INC.,Legacy Data
MUR,4653,PRITZKER FOR CONGRESS,Legacy Data
MUR,4651,MIKE RYAN,Legacy Data
MUR,4645,GUY MILLNER FOR U.S. SENATE INC,Legacy Data
MUR,4644,DETROIT CITY COUNCIL MEMBERS,Legacy Data
MUR,4641,BECKER FOR CONGRESS,Legacy Data
MUR,4640,NEW MEXICANS ACCION DEL PUEPLO CITIZENS ACTION,Legacy Data
MUR,4639,LARSON FOR CONGRESS,Legacy Data
MUR,4638,GREENBERG & TRAURIG/ THOMAS KRAMER,Legacy Data
MUR,4637,DETTMAN FOR CONGRESS,Legacy Data
MUR,4636,IBEW LOCAL 505,Legacy Data
MUR,4635,FRIENDS OF CONGRESSWOMAN BARBARA-ROSE COLLINS,Legacy Data
MUR,4631,H. ROSS PEROT / THE PEROT GROUP,Legacy Data
MUR,4630,KENTUCKY STATE DEMOCRATIC  CENTRAL EXECUTIVE COMMITTEE,Legacy Data
MUR,4629,JANICE SCHAKOWSKY,Legacy Data
MUR,4628,GUTKNECHT FOR CONGRESS,Legacy Data
MUR,4627,"NEW HAMPSHIRE DEMOCRATIC STATE CMTE.; REGLI, KEITH, TREAS.",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4626,FRIENDS OF JIM BUNN,Legacy Data
MUR,4625,HINOJOSA FOR CONGRESS,Legacy Data
MUR,4623,ROBERT BURCH FOR CONGRESS,Legacy Data
MUR,4622,TELLES FOR MAYOR,Legacy Data
MUR,4620,EASTERN CONNECTICUT CHAMBER OF COMMERCE,Legacy Data
MUR,4619,TOWER LOAN OF MISSISSIPPI,Legacy Data
MUR,4618,MISSISSIPPI DEMOCRATIC PARTY PAC,Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4617,MIKE ESPY FOR CONGRESS,Legacy Data
MUR,4616,AMERICAN  LEGISLATIVE EXCHANGE COUNCIL,Legacy Data
MUR,4615,CATHOLIC DEMOCRATS FOR CHRISTIAN VALUES,Legacy Data
MUR,4614,REAGAN-BUSH '84,Legacy Data
MUR,4613,GUY KELLEY FOR CONGRESS,Legacy Data
MUR,4612,TERESA DOGGETT FOR CONGRESS,Legacy Data
MUR,4611,"FRIENDS FOR FRANKS; TREASURER, FRIENDS FOR FRANKS",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4609,MCDONALD FOR SENATE COMMITTEE,Legacy Data
MUR,4608,NEW YORK STATE DEMOCRATIC COMMITTEE,Legacy Data
MUR,4607,NATIONAL COUNCIL OF SENIOR CITIZENS,Legacy Data
MUR,4606,FRIENDS OF CONGRESSWOMAN BARBARA ROSE-COLLINS,Legacy Data
MUR,4605,CHRISTIAN COALITION,Legacy Data
MUR,4604,DANA COVINGTON,Legacy Data
MUR,4603,DAVIS FOR CONGRESS/ FRIENDS OF DANNY K. DAVIS,Legacy Data
MUR,4602,WFSB TV CHANNEL 3,Legacy Data
MUR,4601,CHOCTAW NATION OF OKLAHOMA,Legacy Data
MUR,4600,SAN DIEGO POLICE OFFICERS ASSOCIATION,Legacy Data
MUR,4599,BRUCE W. HAPANOWICZ,Legacy Data
MUR,4598,NELSON FOR US SENATE,Legacy Data
MUR,4597,NEBRASKANS FOR NELSON,Legacy Data
MUR,4596,NELSON FOR SENATE,Legacy Data
MUR,4595,MAX SANDLIN FOR CONGRESS COMMITTEE,Legacy Data
MUR,4593,PUBLIC INTEREST INSTITUTE,Legacy Data
MUR,4592,IOWA PUBLIC TELEVISION,Legacy Data
MUR,4591,"NORTH CAROLINA DEMOCRATIC VICTORY FUND; TREASURER, NORTH CAROLINA DEM. VICTORY FUND",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4590,OKLAHOMA EDUCATION ASSOCIATION,Legacy Data
MUR,4589,CONGRESSMAN BART GORDON,Legacy Data
MUR,4588,NAVARRO FOR CONGRESS,Legacy Data
MUR,4587,"ALAN KEYES FOR PRESIDENT '96 COMMITTEE; LEWIS, MARY PARKER, TREAS (KEYS); RACER, DAVID G., JR.",External Enforcement - Presidential (PFESP)
MUR,4586,FRIENDS OF ZACH WAMP,Legacy Data
MUR,4585,HUGHES FOR CONGRESS COMMITTEE,Legacy Data
MUR,4584,BILL BAKER FOR CONGRESS,Legacy Data
MUR,4582,INDIAN-AMERICAN LEADERSHIP INVESTMENT FUND,Legacy Data
MUR,4581,CONSOLIDATED LOCAL UNION #177 OF THE IBEW INSIDE-OUTSIDE PAC FUND,Legacy Data
MUR,4580,FRIENDS OF MIKE FORBES,Legacy Data
MUR,4579,NEW ZION BAPTIST CHURCH,Legacy Data
MUR,4576,VOLUNTEERS FOR SHIMKUS,Legacy Data
MUR,4575,DANA COVINGTON CAMPAIGN FUND COMMITTEE,Legacy Data
MUR,4574,DANNY COVINGTON CAMPAIGN FUND COMMITTEE,Legacy Data
MUR,4572,FRIENDS OF DICK DURBIN,Legacy Data
MUR,4571,SYBERT FOR CONGRESS COMMITTEE,Legacy Data
MUR,4570,FRIENDS OF ANDREA SEASTRAND FOR CONGRESS,Legacy Data
MUR,4569,MCGOVERN COMMITTEE,Legacy Data
MUR,4567,DNC SERVICES CORP/DNC,Legacy Data
MUR,4566,DEMOCRATIC PARTY OF VIRGINIA,Legacy Data
MUR,4565,BELL FOR CONGRESS,Legacy Data
MUR,4564,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,Legacy Data
MUR,4563,RENEW NEW YORK COMMITTEE,Legacy Data
MUR,4562,WAYNE E. SCHILE,Legacy Data
MUR,4561,JAY HOFFMAN FOR CONGRESS,Legacy Data
MUR,4560,GEORGE STUART JR. FOR CONGRESS,Legacy Data
MUR,4559,BILL BAKER FOR CONGRESS,Legacy Data
MUR,4557,DE LA ROSA FOR CONGRESS '96,Legacy Data
MUR,4556,JIM WIGGINS FOR CONGRESS,Legacy Data
MUR,4554,BYRON FOR CONGRESS,Legacy Data
MUR,4552,CHARLES W. NORWOOD,Legacy Data
MUR,4551,JOHN N. HOSTETTLER,Legacy Data
MUR,4550,WAMP FOR CONGRESS,Legacy Data
MUR,4548,BLAGOJEVICH FOR CONGRESS,Legacy Data
MUR,4543,BESICORP GROUP,Legacy Data
MUR,4542,DAN FRISA FOR CONGRESS,Legacy Data
MUR,4541,ROSS PEROT,Legacy Data
MUR,4540,TIM JOHNSON FOR SOUTH DAKOTA,Legacy Data
MUR,4539,SALLIE MAE STUDENT LOAN ASSOCIATION,Legacy Data
MUR,4537,DI NICOLA FOR CONGRESS,Legacy Data
MUR,4536,"SIGNATURE PROPERTIES, INC.",Legacy Data
MUR,4535,VISCLOSKY FOR CONGRESS,Legacy Data
MUR,4533,MICHAEL ALIOTO FOR CONGRESS,Legacy Data
MUR,4532,COMMITTEE FOR GILMAN,Legacy Data
MUR,4529,PETE KING FOR CONGRESS COMMITTEE,Legacy Data
MUR,4528,PETE KING FOR CONGRESS COMMITTEE,Legacy Data
MUR,4527,BRENNAN FOR SENATE,Legacy Data
MUR,4526,HOEFFEL FOR CONGRESS,Legacy Data
MUR,4525,SENATOR LARRY PRESSLER,Legacy Data
MUR,4524,DANNY COVINGTON CAMPAIGN FUND COMMITTEE,Legacy Data
MUR,4523,CONGRESSWOMAN ANDREA SEASTRAND,Legacy Data
MUR,4522,REPUBLICAN PARTY OF BEXAR COUNTY,Legacy Data
MUR,4521,WMAL 630AM,Legacy Data
MUR,4520,LERNER FOR CONGRESS,Legacy Data
MUR,4519,FAMILY TAXPAYERS FOUNDATION,Legacy Data
MUR,4518,RATHBUN FOR CONGRESS,External Enforcement
MUR,4517,ANONYMOUS,Legacy Data
MUR,4515,CLINTON INVESTIGATIVE COMMISSION,External Enforcement
MUR,4514,FRIENDS FOR FRANKS,Legacy Data
MUR,4512,FRIENDS OF LANE EVANS,Legacy Data
MUR,4511,BOB COFFIN FOR CONGRESS COMMITTEE,Legacy Data
MUR,4510,STABENOW FOR CONGRESS,Legacy Data
MUR,4509,WELLSTONE FOR SENATE,Legacy Data
MUR,4508,HAMBSCH FOR CONGRESS,Legacy Data
MUR,4507,PEOPLE FOR BOSCHWITZ,Legacy Data
MUR,4506,TED LITTLE,Legacy Data
MUR,4504,NEW HAMPSHIRE DEMOCRATIC STATE COMMITTEE,Legacy Data
MUR,4502,DOCKING FOR U.S. SENATE,Legacy Data
MUR,4498,ROBERTS FOR CONGRESS,Legacy Data
MUR,4497,PEASE FOR CONGRESS,Legacy Data
MUR,4496,NORWOOD FOR CONGRESS,Legacy Data
MUR,4495,PENNSYLVANIA PACE FOR FEDERAL ELECTION,Legacy Data
MUR,4494,CORDOVANS FOR LINCOLN,Legacy Data
MUR,4493,TRANSPORT WORKERS UNION POLITICAL CONTRIBUTIONS COMMITTEE,Legacy Data
MUR,4492,FRIENDS OF KEN POSTON,Legacy Data
MUR,4491,CITIZENS FOR FAIR REPRESENTATION,Legacy Data
MUR,4490,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Legacy Data
MUR,4489,GILL FOR CONGRESS,Legacy Data
MUR,4488,ORTIZ FOR CONGRESS COMMITTEE,Legacy Data
MUR,4487,CITIZENS FOR A STRONG AMERICA,Legacy Data
MUR,4486,ROBERT BUNDA FOR CONGRESS,Legacy Data
MUR,4485,PEROT '92 PETITION COMMITTEE,Legacy Data
MUR,4484,"STEWART BAINUM, JR.",Legacy Data
MUR,4483,NEBRASKA DEMOCRATIC STATE CENTRAL COMMITTEE,Legacy Data
MUR,4482,MIKE MCCORMICK FOR CONGRESS COMMITTEE,Legacy Data
MUR,4481,DIAMOND BAR CAUCUS PAC,Legacy Data
MUR,4479,OWENS FOR CONGRESS COMMITTEE,Legacy Data
MUR,4478,CITIZENS FOR TOM REYNOLDS,Legacy Data
MUR,4477,"OMNICOM GROUP, INC. AND DEPARTMENT OF THE NAVY",Legacy Data
MUR,4475,MANPOWER TEMPORARIES AND AL SALVI FOR SENATE,Legacy Data
MUR,4474,SALVI FOR SENATE,Legacy Data
MUR,4473,"DNC SERVICES CORP/DEMOCRATIC NATL. CMTE; PASTRICK, R. SCOTT, TREAS.; REPUBLICAN NATIONAL CMTE-RNC; MCMANUS, WILLIAM J., TREAS (RNC); DOLE/KEMP '96, INC.; LIGHTHIZER, ROBERT E., TREAS.; COMMISSION ON PRESIDENTIAL DEBATES; CLINTON/GORE '96 GENERAL CMTE",External Enforcement - Presidential (PFESP)
MUR,4472,COMMITTEE TO ELECT WINSTON BRYANT U.S. SENATE,Legacy Data
MUR,4471,MONTANA STATE DEMOCRATIC CENTRAL COMMITTEE,Legacy Data
MUR,4470,WARD FOR CONGRESS,Legacy Data
MUR,4469,CAROL MOSELEY-BRAUN FOR U.S. SENATE,Legacy Data
MUR,4468,"DEMOCRATIC STATE CENTRAL CMTE CALIF-FEDERAL; TREASURER, DSCCC-FEDERAL",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4467,GUY MILLNER FOR U.S. SENATE,Legacy Data
MUR,4465,LINCOLN FOR CONGRESS,Legacy Data
MUR,4464,NORWOOD FOR CONGRESS,Legacy Data
MUR,4462,ELLEN O. TAUSCHER,Legacy Data
MUR,4461,AMERICANS FOR FREEDOM OF CHOICE,Legacy Data
MUR,4460,"HAMILTON DISTRIBUTORS, INC.; COMMITTEE TO REVERSE THE ACCELERATING GLOBAL ECON. & STRATEGIC CRISIS:LAROUCH EXPLORATORY CMTE.; MAGRAW, KATHY A., TREAS (CRAGESC); GREENSPAN, ELLIOTT I.; BLACK, MARION; PYENSON, JERRY; PRESTOPINO, ELIZABETH",External Enforcement - Presidential (PFESP)
MUR,4459,CLINTON/GORE '96,External Enforcement
MUR,4458,KMA-AM RADIO (IA),Legacy Data
MUR,4457,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),Legacy Data
MUR,4456,JACKSON MINT LTD.,Legacy Data
MUR,4455,CITY OF MILWAUKEE,Legacy Data
MUR,4454,RALPH NADER,Legacy Data
MUR,4453,MIKE WARD FOR CONGRESS COMMITTEE,Legacy Data
MUR,4452,MID-SUFFOLK N.O.W.,Legacy Data
MUR,4451,"COMMISSION ON PRESIDENTIAL DEBATES; FOX BROADCASTING COMPANY; CAPITAL CITIES/ABC, INC.; PUBLIC BROADCASTING SERVICE",External Enforcement - Presidential (PFESP)
MUR,4450,NATIONAL TREASURY EMPLOYEES UNION (NTEU),Legacy Data
MUR,4449,CLINTON ADMINISTRATION,External Enforcement
MUR,4448,FRIENDS FOR JIM RAPP,Legacy Data
MUR,4447,"RANDOM HOUSE, INC.",Legacy Data
MUR,4446,CLINTON/GORE '96 PRIMARY COMMITTEE,External Enforcement
MUR,4445,RANDY TATE FOR CONGRESS,Legacy Data
MUR,4444,ROBERTS FOR CONGRESS,Legacy Data
MUR,4443,KEVIN QUIGLEY FOR CONGRESS,Legacy Data
MUR,4442,LIPINSKI FOR CONGRESS,Legacy Data
MUR,4441,"REPUBLICAN PARTY OF DADE COUNTY; GRIGSBY, ANDREW E., TREAS (REP. PARTY OF DADE)",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4440,SUE KELLY FOR CONGRESS,Legacy Data
MUR,4439,TOM FRICANO FOR CONGRESS COMMITTEE,Legacy Data
MUR,4438,HARRIS COUNTY REPUBLICAN  PARTY,Legacy Data
MUR,4437,RON DINICOLA FOR CONGRESS,Legacy Data
MUR,4436,"ABRAHAM FOR SENATE; LARSON, MARK C., TREAS. (ABRAHAM)",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4435,LINCOLN FOR CONGRESS,Legacy Data
MUR,4433,DELAHUNT FOR CONGRESS,Legacy Data
MUR,4432,"IDAHO REPUBLICAN PARTY FEDERAL CAMPAIGN ACCOUNT; JACKSON, RICHARD W., TREAS. (IDAHO REP)",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4431,ENGEL FOR CONGRESS,Legacy Data
MUR,4430,JEAN LEISING FOR CONGRESS,Legacy Data
MUR,4429,DELAHUNT FOR CONGRESS,Legacy Data
MUR,4427,"ELGIN BUILDERS, INC.",Legacy Data
MUR,4426,DEALERS ELECTION ACTION COMMITTEE OF THE NATIONAL AUTOMOBILE DEALERS ASSOCIATION,Legacy Data
MUR,4425,GORDON SMITH FOR U.S. SENATE,Legacy Data
MUR,4424,"NEVADANS FOR ""SPIKE""WILSON",Legacy Data
MUR,4423,DAVIS FOR CONGRESS,Legacy Data
MUR,4422,DESANA FOR CONGRESS COMMITTEE,Legacy Data
MUR,4421,BUTLER FOR MAYOR,Legacy Data
MUR,4420,MISSISSIPPI DEMOCRATIC PARTY PAC,Legacy Data
MUR,4419,WEINZAPFEL FOR CONGRESS,Legacy Data
MUR,4418,BELL ATLANTIC CORPORATION,Legacy Data
MUR,4417,OUR CHOICE II,Legacy Data
MUR,4416,HAMILTON FOR CONGRESS,Legacy Data
MUR,4415,STEVENS FOR SENATE COMMITTEE,Legacy Data
MUR,4414,TURRIETTA-KOURY FOR CONGRESS,Legacy Data
MUR,4413,NEW YORK REPUBLICAN FEDERAL CAMPAIGN COMMITTEE,Legacy Data
MUR,4412,"TORRICELLI FOR U.S. SENATE, INC.",Legacy Data
MUR,4411,"FIRST EVANGELICAL PRESBYTERIAN  CHURCH OF ANNA, ILLINOIS",Legacy Data
MUR,4410,CITIZENS FOR QUIGLEY,Legacy Data
MUR,4409,KEVIN QUIGLEY FOR CONGRESS,Legacy Data
MUR,4408,KEVIN QUIGLEY FOR CONGRESS ET. AL,Legacy Data
MUR,4406,FRIENDS OF JIM MCDERMOTT,Legacy Data
MUR,4405,KATZ FOR CONGRESS,Legacy Data
MUR,4404,FRIENDS OF STEVE STOCKMAN,Legacy Data
MUR,4403,POPULIST PARTY OF AMERICA,Legacy Data
MUR,4402,REPRESENTATIVE HELEN CHENOWETH AND WEST ONE BANK,Legacy Data
MUR,4401,"DOLE FOR PRESIDENT, INC.",External Enforcement - Presidential (PFESP)
MUR,4400,"SAN BERNARDINO COUNTY REPUBLICAN CENTRAL COMMITTEE.; MCLAIN, NANCY, TREAS. (BERNARDINO)",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4399,STATE UNIVERSITIES RETIREMENT SYSTEM OF ILLINOIS,Legacy Data
MUR,4398,THOMAS KRAMER,Legacy Data
MUR,4397,AFL-CIO,Legacy Data
MUR,4396,AMERICAN BROADCASTING COMPANY INC. (ABC),Legacy Data
MUR,4395,"CLINTON/GORE '96 PRIMARY COMMITTEE, INC.",External Enforcement - Presidential (PFESP)
MUR,4394,AMERICANS FOR LIMITED TERMS,Legacy Data
MUR,4393,CECIL J. BANKS,Legacy Data
MUR,4392,SERVICES GROUP OF AMERICA PAC,Legacy Data
MUR,4391,PAT ROBERTS FOR SENATE COMMITTEE,Legacy Data
MUR,4390,KOLBE '96,Legacy Data
MUR,4389,ORANGE COUNTY DEMOCRATIC CENTRAL COMMITTEE,External Enforcement
MUR,4388,BILL WITT FOR SENATE/ BILL WITT FOR CONGRESS,Legacy Data
MUR,4387,"FRIENDS OF CONRAD BURNS (1994); SWAIN, JIM, TREAS.",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4386,ZIMMER FOR SENATE,Legacy Data
MUR,4385,DIAL FOR CONGRESS,Legacy Data
MUR,4384,WILLIE COLON FOR U.S. CONGRESS,Legacy Data
MUR,4383,PAUKEN FOR CONGRESS,Legacy Data
MUR,4382,DOLE FOR PRESIDENT,External Enforcement - Presidential (PFESP)
MUR,4381,"UNITED REPUBLICAN FUND OF ILLINOIS, INC. FED. ELECTION COMMITTEE.; DIETZ, DEBORAH D., TREAS. (UNITED REP. FUND)",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4380,NATIONAL COUNCIL OF FIELD LABOR LOCALS PAC,Legacy Data
MUR,4379,TEAMSTERS LOCAL UNION NO.135,Legacy Data
MUR,4378,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Legacy Data
MUR,4377,BRAXTON FOR CONGRESS,Legacy Data
MUR,4376,"CITIBANK, N.A.",Legacy Data
MUR,4375,WESTCHESTER COUNTY CONSERVATIVE PARTY,Legacy Data
MUR,4374,MARK STODOLA FOR CONGRESS PRIMARY COMMITTEE,Legacy Data
MUR,4373,CANNON FOR CONGRESS,Legacy Data
MUR,4372,NEBRASKA DEMOCRATIC PARTY,Legacy Data
MUR,4371,"EMPLOYMENT GROUP, INC.",Legacy Data
MUR,4370,"CAROL MOSELEY BRAUN FOR U.S. SENATE; PAIGE, BILLIE, TREAS.",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4369,FRIENDS OF JIM INHOFE COMMITTEE,Legacy Data
MUR,4368,CITIZENS BUSINESS BANK/WILDE FOR CONGRESS,Legacy Data
MUR,4367,PHILIPSTOWN REPUBLICAN PARTY/SUE KELLY FOR CONGRESS,Legacy Data
MUR,4366,PHIL SCHILIRO FOR CONGRESS,Legacy Data
MUR,4365,AL SALVI FOR SENATE,Legacy Data
MUR,4364,FRIENDS OF JIMMY BLAKE,Legacy Data
MUR,4363,WSB-TV,Legacy Data
MUR,4362,LALLY FOR CONGRESS,Legacy Data
MUR,4361,ABC-TV,Legacy Data
MUR,4360,WEYGAND COMMITTEE,Legacy Data
MUR,4359,FRANCIS THOMPSON FOR CONGRESS,Legacy Data
MUR,4358,MILLER FOR SENATE,Legacy Data
MUR,4357,"BOB BARR FOR CONGRESS '94; BLACK, CHARLES C., TREASURER; BARNETTE, THOMAS; CAMP, WILLIAM L.; GATES, ROBERT W.; HOLLEY, RONALD S.; JANNUZZO, CARIN B.",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4356,"DYNAMIC ENERGY RESOURCES, INC.",Legacy Data
MUR,4355,"AQUA-LEISURE INDUSTRIES., INC.",Legacy Data
MUR,4354,BRIAN STEEL FOR CONGRESS,Legacy Data
MUR,4353,FRIENDS OF BOB KILBANKS,Legacy Data
MUR,4352,TORRICELLI FOR U.S. SENATE,Legacy Data
MUR,4351,UNITED MINE WORKERS OF AMERICA--COAL MINERS PAC,Legacy Data
MUR,4350,REPUBLICAN PARTY OF MINNESOTA,Legacy Data
MUR,4349,A LOT OF PEOPLE WHO SUPPORT JEFF BINGAMAN,Legacy Data
MUR,4348,SOGLIN FOR CONGRESS,Legacy Data
MUR,4347,ANONYMOUS,Legacy Data
MUR,4346,"CITIZENS FOR JACK METCALF; WATTS, DONALD, TREAS.",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4345,"NEVADA STATE DEMOCRATIC PARTY; JOHNSON, DEBBIE TODD, TREAS.",Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,4344,D.C. REPUBLICAN COMMITTEE FEDERAL CAMPAIGN COMMITTEE,Legacy Data
MUR,4343,NATURAL LAW PARTY OF NEW YORK,Legacy Data
MUR,4342,STEPHENS FOR CONGRESS COMMITTEE,Legacy Data
MUR,4341,JUAN SOLIZ FOR CONGRESS,Legacy Data
MUR,4340,TWEEZERMAN CORPORATION/ LAMAGNA FOR CONGRESS,Legacy Data
MUR,4339,WSB-TV,Legacy Data
MUR,4338,DAVIS FOR CONGRESS,External Enforcement
